normalized,obs_model,noise,distinction,downsample,obs_pts,accuracy
0,antialias,0.05,diff_disp,8,32,0.9940
0,antialias,0.05,lw_bw,8,32,0.7060
0,antialias,0.05,four,8,32,0.7230
1,antialias,0.05,diff_disp,8,32,0.7230
1,antialias,0.05,lw_bw,8,32,0.4940
1,antialias,0.05,four,8,32,0.3620
0,antialias,0.05,diff_disp,16,16,0.9940
0,antialias,0.05,lw_bw,16,16,0.7120
0,antialias,0.05,four,16,16,0.7380
1,antialias,0.05,diff_disp,16,16,0.7190
1,antialias,0.05,lw_bw,16,16,0.5200
1,antialias,0.05,four,16,16,0.3640
0,antialias,0.05,diff_disp,32,8,0.9840
0,antialias,0.05,lw_bw,32,8,0.6780
0,antialias,0.05,four,32,8,0.6760
1,antialias,0.05,diff_disp,32,8,0.6100
1,antialias,0.05,lw_bw,32,8,0.5020
1,antialias,0.05,four,32,8,0.3150
