type,slice,grid_n,library,n_terms,noise,direction,alpha,delta_alpha,n_ic,n_noise,tpr,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,fpr_target,mean_angle_deg,detection_limit_delta_alpha,limit_lo,limit_hi,limit_censored_fraction,interp_ms,ref_interp_ms,derivative_ms,lstsq_ms,design_matrix_mb,design_rows
curve,noise,64,base5,5,lowpass,strengthen,1.1,0.1,60,5,0.095833,0.067000,0.125671,0.056667,0.035833,0.078671,0.05,18.2999,,,,,,,,,,
curve,noise,64,base5,5,lowpass,strengthen,1.2,0.2,60,5,0.135333,0.100333,0.172171,0.051000,0.029496,0.076504,0.05,19.9270,,,,,,,,,,
curve,noise,64,base5,5,lowpass,strengthen,1.3,0.3,60,5,0.138833,0.105496,0.174667,0.046167,0.025492,0.070004,0.05,19.6010,,,,,,,,,,
curve,noise,64,base5,5,lowpass,strengthen,1.4,0.4,60,5,0.207833,0.159333,0.253846,0.055833,0.032996,0.079346,0.05,21.9121,,,,,,,,,,
curve,noise,64,base5,5,lowpass,strengthen,1.5,0.5,60,5,0.251833,0.199000,0.306004,0.052500,0.028163,0.080833,0.05,22.8492,,,,,,,,,,
limit,noise,64,base5,5,lowpass,strengthen,,,60,5,,,,,,,0.05,22.8492,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,noise,64,base5,5,gradient,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,noise,64,base5,5,gradient,weaken,0.9,0.1,60,5,0.129667,0.097833,0.163675,0.054667,0.036000,0.075333,0.05,3.6549,,,,,,,,,,
curve,noise,64,base5,5,gradient,weaken,0.8,0.2,60,5,0.174333,0.127987,0.223837,0.045500,0.028996,0.062671,0.05,5.3424,,,,,,,,,,
curve,noise,64,base5,5,gradient,weaken,0.7,0.3,60,5,0.370167,0.314988,0.429667,0.046833,0.030000,0.067167,0.05,7.8327,,,,,,,,,,
curve,noise,64,base5,5,gradient,weaken,0.6,0.4,60,5,0.504833,0.447496,0.562175,0.049333,0.031996,0.070333,0.05,10.5424,,,,,,,,,,
